,city,state,house_size,bed,bath,price,price_range,city_encoded
86,McLean,Virginia,4443.0,4.0,5.0,1750000.0,0-2M,0
87,McLean,Virginia,2945.0,3.0,4.0,1185000.0,0-2M,0
88,McLean,Virginia,5848.0,6.0,5.0,2295000.0,2M-5M,0
89,McLean,Virginia,12523.0,7.0,12.0,9250000.0,5M-10M,0
90,McLean,Virginia,1504.0,3.0,2.0,525000.0,0-2M,0
91,McLean,Virginia,1112.0,2.0,2.0,329000.0,0-2M,0
92,McLean,Virginia,1050.0,2.0,2.0,354900.0,0-2M,0
93,McLean,Virginia,3716.0,5.0,5.0,1549888.0,0-2M,0
94,McLean,Virginia,1150.0,2.0,2.0,339900.0,0-2M,0
95,McLean,Virginia,8885.0,5.0,7.0,2295000.0,2M-5M,0
96,McLean,Virginia,3902.0,4.0,4.0,1480000.0,0-2M,0
97,McLean,Virginia,2900.0,5.0,3.0,1395000.0,0-2M,0
98,McLean,Virginia,3102.0,3.0,4.0,799990.0,0-2M,0
99,McLean,Virginia,2730.0,5.0,4.0,1200000.0,0-2M,0
100,McLean,Virginia,4215.0,4.0,6.0,1295000.0,0-2M,0
101,McLean,Virginia,1112.0,2.0,2.0,325000.0,0-2M,0
102,McLean,Virginia,1244.0,2.0,3.0,440000.0,0-2M,0
103,McLean,Virginia,8220.0,6.0,8.0,3695000.0,2M-5M,0
104,McLean,Virginia,1500.0,4.0,3.0,1450000.0,0-2M,0
105,McLean,Virginia,13814.0,6.0,12.0,6999900.0,5M-10M,0
106,McLean,Virginia,11081.0,6.0,8.0,4495000.0,2M-5M,0
107,McLean,Virginia,894.0,1.0,2.0,675000.0,0-2M,0
108,McLean,Virginia,952.0,2.0,2.0,379000.0,0-2M,0
109,McLean,Virginia,1132.0,2.0,2.0,435000.0,0-2M,0
110,McLean,Virginia,10066.0,6.0,7.0,5250000.0,5M-10M,0
111,McLean,Virginia,2409.0,4.0,3.0,874900.0,0-2M,0
112,McLean,Virginia,952.0,2.0,2.0,352900.0,0-2M,0
113,McLean,Virginia,6950.0,6.0,7.0,2224999.0,2M-5M,0
114,McLean,Virginia,1468.0,2.0,2.0,499900.0,0-2M,0
115,McLean,Virginia,7700.0,5.0,5.0,2195000.0,2M-5M,0
116,McLean,Virginia,1276.0,3.0,3.0,459500.0,0-2M,0
117,McLean,Virginia,4860.0,3.0,4.0,1799000.0,0-2M,0
118,McLean,Virginia,1586.0,3.0,3.0,936950.0,0-2M,0
119,McLean,Virginia,626.0,1.0,1.0,249000.0,0-2M,0
120,McLean,Virginia,1228.0,2.0,2.0,700000.0,0-2M,0
121,McLean,Virginia,1813.0,2.0,3.0,1695000.0,0-2M,0
122,McLean,Virginia,1180.0,2.0,2.0,339900.0,0-2M,0
123,McLean,Virginia,1160.0,2.0,2.0,965000.0,0-2M,0
124,McLean,Virginia,1480.0,4.0,2.0,1100000.0,0-2M,0
125,McLean,Virginia,2763.0,3.0,3.0,1275950.0,0-2M,0
126,McLean,Virginia,7060.0,6.0,7.0,2249980.0,2M-5M,0
127,McLean,Virginia,2331.0,4.0,4.0,884900.0,0-2M,0
128,McLean,Virginia,12606.0,6.0,6.0,10497000.0,10M-50M,0
129,McLean,Virginia,2422.0,5.0,4.0,999000.0,0-2M,0
130,McLean,Virginia,784.0,1.0,1.0,299000.0,0-2M,0
131,McLean,Virginia,5000.0,6.0,6.0,1899000.0,0-2M,0
132,McLean,Virginia,7100.0,6.0,7.0,3200000.0,2M-5M,0
133,McLean,Virginia,9106.0,6.0,9.0,7900000.0,5M-10M,0
134,McLean,Virginia,6100.0,6.0,7.0,2525000.0,2M-5M,0
135,McLean,Virginia,1329.0,2.0,2.0,820000.0,0-2M,0
136,McLean,Virginia,3069.0,5.0,4.0,1599900.0,0-2M,0
137,McLean,Virginia,1327.0,2.0,2.0,499000.0,0-2M,0
138,McLean,Virginia,1272.0,3.0,2.0,499900.0,0-2M,0
139,McLean,Virginia,1327.0,2.0,2.0,495000.0,0-2M,0
140,McLean,Virginia,6234.0,6.0,5.0,2299000.0,2M-5M,0
141,McLean,Virginia,2078.0,2.0,2.0,1649000.0,0-2M,0
142,McLean,Virginia,818.0,1.0,1.0,285000.0,0-2M,0
143,McLean,Virginia,1327.0,2.0,2.0,539900.0,0-2M,0
144,McLean,Virginia,11445.0,5.0,8.0,5200000.0,5M-10M,0
145,McLean,Virginia,1741.0,2.0,3.0,1648000.0,0-2M,0
146,McLean,Virginia,23600.0,6.0,11.0,29900000.0,10M-50M,0
147,McLean,Virginia,11850.0,6.0,9.0,3900000.0,2M-5M,0
148,McLean,Virginia,1305.0,2.0,2.0,449900.0,0-2M,0
149,McLean,Virginia,1328.0,2.0,2.0,479900.0,0-2M,0
150,McLean,Virginia,689.0,1.0,1.0,239990.0,0-2M,0
151,McLean,Virginia,3030.0,3.0,5.0,2295000.0,2M-5M,0
152,McLean,Virginia,3612.0,5.0,4.0,1300000.0,0-2M,0
153,McLean,Virginia,1982.0,4.0,3.0,2999999.0,2M-5M,0
154,McLean,Virginia,1338.0,2.0,2.0,486000.0,0-2M,0
155,McLean,Virginia,1335.0,2.0,2.0,448500.0,0-2M,0
156,McLean,Virginia,2548.0,4.0,3.0,1699999.0,0-2M,0
157,McLean,Virginia,7347.0,6.0,7.0,2699000.0,2M-5M,0
158,McLean,Virginia,626.0,1.0,1.0,224900.0,0-2M,0
159,McLean,Virginia,1765.0,4.0,5.0,1600000.0,0-2M,0
160,McLean,Virginia,3075.0,4.0,4.0,1375000.0,0-2M,0
161,McLean,Virginia,1403.0,2.0,2.0,400000.0,0-2M,0
162,McLean,Virginia,980.0,2.0,1.0,315000.0,0-2M,0
163,McLean,Virginia,690.0,1.0,1.0,339000.0,0-2M,0
164,McLean,Virginia,1702.0,2.0,2.0,524900.0,0-2M,0
165,McLean,Virginia,1220.0,2.0,2.0,529900.0,0-2M,0
166,McLean,Virginia,811.0,1.0,2.0,279000.0,0-2M,0
167,McLean,Virginia,6917.0,4.0,5.0,2360000.0,2M-5M,0
168,McLean,Virginia,11125.0,7.0,9.0,3400000.0,2M-5M,0
169,McLean,Virginia,6260.0,7.0,8.0,1950000.0,0-2M,0
170,McLean,Virginia,1338.0,2.0,2.0,445000.0,0-2M,0
171,McLean,Virginia,7011.0,6.0,7.0,2699000.0,2M-5M,0
172,McLean,Virginia,1329.0,2.0,2.0,730000.0,0-2M,0
173,McLean,Virginia,3911.0,5.0,4.0,1600000.0,0-2M,0
174,McLean,Virginia,2514.0,4.0,5.0,1075000.0,0-2M,0
175,McLean,Virginia,12200.0,7.0,9.0,4000000.0,2M-5M,0
176,McLean,Virginia,1327.0,2.0,2.0,549000.0,0-2M,0
177,McLean,Virginia,8518.0,5.0,7.0,3695000.0,2M-5M,0
178,McLean,Virginia,10000.0,6.0,8.0,4950000.0,2M-5M,0
179,McLean,Virginia,8345.0,7.0,8.0,3695000.0,2M-5M,0
180,McLean,Virginia,20000.0,8.0,13.0,24000000.0,10M-50M,0
181,McLean,Virginia,6688.0,7.0,7.0,2499500.0,2M-5M,0
182,McLean,Virginia,2376.0,4.0,5.0,1275950.0,0-2M,0
183,McLean,Virginia,14900.0,8.0,12.0,14700000.0,10M-50M,0
184,McLean,Virginia,4685.0,4.0,4.0,1795900.0,0-2M,0
185,McLean,Virginia,4351.0,4.0,4.0,1875000.0,0-2M,0
186,McLean,Virginia,8200.0,7.0,9.0,3995000.0,2M-5M,0
187,McLean,Virginia,7400.0,7.0,7.0,2725000.0,2M-5M,0
188,McLean,Virginia,8313.0,6.0,7.0,2999900.0,2M-5M,0
189,McLean,Virginia,8216.0,6.0,9.0,4650000.0,2M-5M,0
190,McLean,Virginia,935.0,1.0,1.0,275000.0,0-2M,0
191,McLean,Virginia,12640.0,9.0,8.0,5800000.0,5M-10M,0
192,McLean,Virginia,9100.0,6.0,7.0,3299000.0,2M-5M,0
193,McLean,Virginia,6312.0,5.0,7.0,1900000.0,0-2M,0
194,McLean,Virginia,6000.0,6.0,6.0,1969999.0,0-2M,0
195,McLean,Virginia,1060.0,2.0,2.0,429900.0,0-2M,0
196,McLean,Virginia,8700.0,7.0,9.0,5500000.0,5M-10M,0
197,McLean,Virginia,966.0,2.0,1.0,289000.0,0-2M,0
198,McLean,Virginia,10058.0,6.0,6.0,2650000.0,2M-5M,0
199,McLean,Virginia,2165.0,3.0,4.0,1267950.0,0-2M,0
200,McLean,Virginia,1428.0,2.0,2.0,489500.0,0-2M,0
201,McLean,Virginia,3732.0,5.0,4.0,1875000.0,0-2M,0
202,McLean,Virginia,1942.0,3.0,4.0,800000.0,0-2M,0
203,McLean,Virginia,7154.0,7.0,7.0,2549000.0,2M-5M,0
204,McLean,Virginia,1586.0,3.0,3.0,879950.0,0-2M,0
205,McLean,Virginia,7217.0,6.0,7.0,3150000.0,2M-5M,0
206,McLean,Virginia,7395.0,5.0,8.0,2750000.0,2M-5M,0
207,McLean,Virginia,4050.0,5.0,4.0,1550000.0,0-2M,0
208,McLean,Virginia,1407.0,3.0,2.0,575000.0,0-2M,0
209,McLean,Virginia,11797.0,7.0,8.0,4899990.0,2M-5M,0
210,McLean,Virginia,8300.0,7.0,8.0,2439000.0,2M-5M,0
211,McLean,Virginia,3390.0,3.0,4.0,3746000.0,2M-5M,0
212,McLean,Virginia,1530.0,2.0,2.0,1548000.0,0-2M,0
213,McLean,Virginia,2820.0,3.0,3.0,2575000.0,2M-5M,0
214,McLean,Virginia,1100.0,2.0,2.0,869000.0,0-2M,0
215,McLean,Virginia,17560.0,7.0,11.0,7895900.0,5M-10M,0
216,McLean,Virginia,9502.0,5.0,8.0,4450000.0,2M-5M,0
217,McLean,Virginia,9010.0,6.0,8.0,3495000.0,2M-5M,0
218,McLean,Virginia,6600.0,6.0,8.0,2285000.0,2M-5M,0
219,McLean,Virginia,5972.0,7.0,7.0,2200000.0,2M-5M,0
220,McLean,Virginia,9711.0,6.0,9.0,3499000.0,2M-5M,0
221,McLean,Virginia,1689.0,2.0,3.0,1488000.0,0-2M,0
222,McLean,Virginia,1376.0,3.0,3.0,2490000.0,2M-5M,0
223,McLean,Virginia,21337.0,6.0,9.0,10500000.0,10M-50M,0
224,McLean,Virginia,1034.0,2.0,2.0,365000.0,0-2M,0
225,McLean,Virginia,1689.0,2.0,3.0,1138000.0,0-2M,0
226,McLean,Virginia,11084.0,7.0,9.0,3760000.0,2M-5M,0
227,McLean,Virginia,2350.0,2.0,3.0,2060000.0,2M-5M,0
228,McLean,Virginia,4040.0,4.0,5.0,1850000.0,0-2M,0
229,McLean,Virginia,5415.0,6.0,4.0,1980000.0,0-2M,0
230,McLean,Virginia,2349.0,5.0,4.0,4950000.0,2M-5M,0
231,McLean,Virginia,1327.0,2.0,2.0,529900.0,0-2M,0
232,McLean,Virginia,7968.0,6.0,8.0,2995000.0,2M-5M,0
233,McLean,Virginia,3723.0,5.0,4.0,1200000.0,0-2M,0
234,McLean,Virginia,2319.0,3.0,3.0,895000.0,0-2M,0
235,McLean,Virginia,2618.0,5.0,4.0,1250000.0,0-2M,0
236,McLean,Virginia,880.0,1.0,1.0,676000.0,0-2M,0
237,McLean,Virginia,1870.0,2.0,2.0,1652000.0,0-2M,0
238,McLean,Virginia,2780.0,3.0,3.0,2820000.0,2M-5M,0
