,Province,Location,Area,AreaSegment,Price/m2,BedRoom,Toilet,Price,PriceSegment,Province_encoded
676,Khánh Hòa,"Nha Trang, Khánh Hòa",157.5,150m² - 250m²,76190000.0,4.0,5.0,12000000000.0,10 tỷ - 20 tỷ,0
677,Đà Nẵng,"Hải Châu, Đà Nẵng",125.0,100m² - 150m²,148000000.0,11.0,11.0,18500000000.0,10 tỷ - 20 tỷ,3
678,Đà Nẵng,"Sơn Trà, Đà Nẵng",345.0,250m² - 350m²,55070000.0,5.0,5.0,19000000000.0,10 tỷ - 20 tỷ,3
679,Lâm Đồng,"Đà Lạt, Lâm Đồng",794.0,Trên 500m²,151130000.0,8.0,9.0,120000000000.0,100 tỷ - 1000 tỷ,2
680,Đà Nẵng,"Thanh Khê, Đà Nẵng",106.0,100m² - 150m²,221700000.0,4.0,4.0,23500000000.0,20 tỷ - 40 tỷ,3
681,Đà Nẵng,"Ngũ Hành Sơn, Đà Nẵng",96.4,50m² - 100m²,150420000.0,10.0,11.0,14500000000.0,10 tỷ - 20 tỷ,3
682,Khánh Hòa,"Nha Trang, Khánh Hòa",37.0,30m² - 50m²,108110000.0,2.0,3.0,4000000000.0,1 tỷ - 5 tỷ,0
683,Khánh Hòa,"Nha Trang, Khánh Hòa",47.0,30m² - 50m²,63830000.0,3.0,3.0,3000000000.0,1 tỷ - 5 tỷ,0
684,Đà Nẵng,"Thanh Khê, Đà Nẵng",43.0,30m² - 50m²,52330000.0,2.0,2.0,2250000000.0,1 tỷ - 5 tỷ,3
685,Đà Nẵng,"Thanh Khê, Đà Nẵng",64.0,50m² - 100m²,53910000.0,3.0,3.0,3450000000.0,1 tỷ - 5 tỷ,3
686,Đà Nẵng,"Hải Châu, Đà Nẵng",147.5,100m² - 150m²,155930000.0,3.0,4.0,23000000000.0,20 tỷ - 40 tỷ,3
687,Đà Nẵng,"Thanh Khê, Đà Nẵng",121.0,100m² - 150m²,128100000.0,16.0,16.0,15500000000.0,10 tỷ - 20 tỷ,3
688,Đà Nẵng,"Thanh Khê, Đà Nẵng",121.0,100m² - 150m²,128100000.0,16.0,16.0,15500000000.0,10 tỷ - 20 tỷ,3
689,Khánh Hòa,"Nha Trang, Khánh Hòa",90.0,50m² - 100m²,80000000.0,4.0,4.0,7200000000.0,5 tỷ - 10 tỷ,0
690,Đà Nẵng,"Sơn Trà, Đà Nẵng",90.0,50m² - 100m²,67780000.0,3.0,2.0,6100000000.0,5 tỷ - 10 tỷ,3
691,Đà Nẵng,"Ngũ Hành Sơn, Đà Nẵng",200.0,150m² - 250m²,62500000.0,4.0,5.0,12500000000.0,10 tỷ - 20 tỷ,3
692,Khánh Hòa,"Nha Trang, Khánh Hòa",40.46,30m² - 50m²,417700000.0,8.0,7.0,16899999999.999998,10 tỷ - 20 tỷ,0
693,Đà Nẵng,"Sơn Trà, Đà Nẵng",85.0,50m² - 100m²,45880000.0,3.0,2.0,3900000000.0,1 tỷ - 5 tỷ,3
694,Đà Nẵng,"Sơn Trà, Đà Nẵng",85.0,50m² - 100m²,45880000.0,3.0,2.0,3900000000.0,1 tỷ - 5 tỷ,3
695,Đà Nẵng,"Liên Chiểu, Đà Nẵng",73.0,50m² - 100m²,36990000.0,3.0,2.0,2700000000.0,1 tỷ - 5 tỷ,3
696,Khánh Hòa,"Nha Trang, Khánh Hòa",61.0,50m² - 100m²,81950000.0,6.0,8.0,5000000000.0,1 tỷ - 5 tỷ,0
697,Khánh Hòa,"Nha Trang, Khánh Hòa",100.0,50m² - 100m²,40000000.0,3.0,4.0,4000000000.0,1 tỷ - 5 tỷ,0
698,Khánh Hòa,"Nha Trang, Khánh Hòa",100.0,50m² - 100m²,40000000.0,3.0,4.0,4000000000.0,1 tỷ - 5 tỷ,0
699,Khánh Hòa,"Nha Trang, Khánh Hòa",65.0,50m² - 100m²,100000000.0,2.0,2.0,6500000000.0,5 tỷ - 10 tỷ,0
700,Đà Nẵng,"Hải Châu, Đà Nẵng",106.0,100m² - 150m²,124530000.0,4.0,4.0,13200000000.0,10 tỷ - 20 tỷ,3
701,Đà Nẵng,"Ngũ Hành Sơn, Đà Nẵng",117.5,100m² - 150m²,137870000.0,4.0,5.0,16200000000.0,10 tỷ - 20 tỷ,3
702,Đà Nẵng,"Ngũ Hành Sơn, Đà Nẵng",105.0,100m² - 150m²,51430000.0,4.0,3.0,5400000000.0,5 tỷ - 10 tỷ,3
703,Đà Nẵng,"Ngũ Hành Sơn, Đà Nẵng",110.0,100m² - 150m²,43640000.0,4.0,3.0,4800000000.0,1 tỷ - 5 tỷ,3
704,Lâm Đồng,"Đà Lạt, Lâm Đồng",262.0,250m² - 350m²,43890000.0,3.0,3.0,11500000000.0,10 tỷ - 20 tỷ,2
705,Đà Nẵng,"Liên Chiểu, Đà Nẵng",85.0,50m² - 100m²,82350000.0,3.0,3.0,7000000000.0,5 tỷ - 10 tỷ,3
706,Đà Nẵng,"Sơn Trà, Đà Nẵng",165.0,150m² - 250m²,45460000.0,3.0,3.0,7500000000.0,5 tỷ - 10 tỷ,3
