,Province,Location,Area,AreaSegment,Price/m2,BedRoom,Toilet,Price,PriceSegment,Province_encoded
428,Bình Thuận,"Phan Thiết, Bình Thuận",100.0,50m² - 100m²,40000000.0,2.0,2.0,4000000000.0,1 tỷ - 5 tỷ,0
429,Hà Nam,"Phủ Lý, Hà Nam",200.0,150m² - 250m²,100000000.0,4.0,4.0,20000000000.0,10 tỷ - 20 tỷ,2
430,Thanh Hóa,"Thanh Hóa, Thanh Hóa",144.0,100m² - 150m²,62500000.0,6.0,5.0,9000000000.0,5 tỷ - 10 tỷ,6
431,Bắc Ninh,"Từ Sơn, Bắc Ninh",120.0,100m² - 150m²,58750000.0,4.0,5.0,7050000000.0,5 tỷ - 10 tỷ,1
432,Bắc Ninh,"Từ Sơn, Bắc Ninh",120.0,100m² - 150m²,65420000.0,4.0,5.0,7850000000.0,5 tỷ - 10 tỷ,1
433,Bắc Ninh,"Từ Sơn, Bắc Ninh",180.0,150m² - 250m²,77220000.0,4.0,5.0,13900000000.0,10 tỷ - 20 tỷ,1
434,Đắk Lắk,"Buôn Ma Thuột, Đắk Lắk",105.0,100m² - 150m²,44290000.0,2.0,1.0,4650000000.0,1 tỷ - 5 tỷ,7
435,Thanh Hóa,"Thanh Hóa, Thanh Hóa",79.0,50m² - 100m²,84810000.0,4.0,2.0,6700000000.0,5 tỷ - 10 tỷ,6
436,Kiên Giang,"Phú Quốc, Kiên Giang",117.0,100m² - 150m²,115380000.0,4.0,4.0,13500000000.0,10 tỷ - 20 tỷ,3
437,Bắc Ninh,"Từ Sơn, Bắc Ninh",75.0,50m² - 100m²,69330000.0,6.0,7.0,5200000000.0,5 tỷ - 10 tỷ,1
438,Nghệ An,"Vinh, Nghệ An",127.0,100m² - 150m²,169290000.0,4.0,4.0,21500000000.0,20 tỷ - 40 tỷ,4
439,Nghệ An,"Vinh, Nghệ An",87.5,50m² - 100m²,131430000.0,4.0,4.0,11500000000.0,10 tỷ - 20 tỷ,4
440,Bình Thuận,"Phan Thiết, Bình Thuận",400.0,350m² - 500m²,40000000.0,5.0,5.0,16000000000.0,10 tỷ - 20 tỷ,0
441,Bắc Ninh,"Bắc Ninh, Bắc Ninh",189.0,150m² - 250m²,149210000.0,6.0,6.0,28200000000.0,20 tỷ - 40 tỷ,1
