,Province,Location,Area,AreaSegment,Price/m2,BedRoom,Toilet,Price,PriceSegment,Province_encoded
54,Long An,"Đức Hòa, Long An",75.0,50m² - 100m²,30000000.0,4.0,4.0,2250000000.0,1 tỷ - 5 tỷ,1
55,Bình Dương,"Bến Cát, Bình Dương",80.0,50m² - 100m²,33250000.0,3.0,3.0,2660000000.0,1 tỷ - 5 tỷ,0
56,Bình Dương,"Thủ Dầu Một, Bình Dương",100.0,50m² - 100m²,100000000.0,5.0,5.0,10000000000.0,5 tỷ - 10 tỷ,0
57,Đồng Nai,"Trảng Bom, Đồng Nai",80.0,50m² - 100m²,33119999.999999996,4.0,3.0,2650000000.0,1 tỷ - 5 tỷ,2
58,Bình Dương,"Tân Uyên, Bình Dương",100.0,50m² - 100m²,26300000.0,4.0,2.0,2630000000.0,1 tỷ - 5 tỷ,0
59,Đồng Nai,"Biên Hòa, Đồng Nai",68.0,50m² - 100m²,32350000.0,3.0,2.0,2200000000.0,1 tỷ - 5 tỷ,2
60,Đồng Nai,"Biên Hòa, Đồng Nai",160.0,150m² - 250m²,41250000.0,4.0,4.0,6600000000.0,5 tỷ - 10 tỷ,2
61,Đồng Nai,"Long Thành, Đồng Nai",134.0,100m² - 150m²,14550000.0,2.0,1.0,1950000000.0,1 tỷ - 5 tỷ,2
62,Bình Dương,"Thủ Dầu Một, Bình Dương",100.0,50m² - 100m²,69000000.0,3.0,4.0,6900000000.0,5 tỷ - 10 tỷ,0
63,Đồng Nai,"Biên Hòa, Đồng Nai",117.0,100m² - 150m²,52140000.0,4.0,4.0,6100000000.0,5 tỷ - 10 tỷ,2
64,Bình Dương,"Thuận An, Bình Dương",100.0,50m² - 100m²,66500000.0,1.0,1.0,6650000000.0,5 tỷ - 10 tỷ,0
65,Bình Dương,"Thuận An, Bình Dương",150.0,100m² - 150m²,39330000.0,4.0,3.0,5900000000.0,5 tỷ - 10 tỷ,0
66,Bình Dương,"Thuận An, Bình Dương",100.0,50m² - 100m²,64000000.0,3.0,4.0,6400000000.0,5 tỷ - 10 tỷ,0
67,Bình Dương,"Thuận An, Bình Dương",185.0,150m² - 250m²,56760000.0,4.0,5.0,10500000000.0,10 tỷ - 20 tỷ,0
68,Long An,"Bến Lức, Long An",110.0,100m² - 150m²,30910000.0,3.0,2.0,3400000000.0,1 tỷ - 5 tỷ,1
69,Đồng Nai,"Long Thành, Đồng Nai",120.0,100m² - 150m²,39170000.0,3.0,2.0,4700000000.0,1 tỷ - 5 tỷ,2
70,Bình Dương,"Dĩ An, Bình Dương",71.0,50m² - 100m²,52110000.0,3.0,3.0,3700000000.0,1 tỷ - 5 tỷ,0
71,Long An,"Bến Lức, Long An",90.0,50m² - 100m²,35560000.0,3.0,2.0,3200000000.0,1 tỷ - 5 tỷ,1
72,Long An,"Bến Lức, Long An",225.0,150m² - 250m²,36440000.0,4.0,3.0,8199999999.999999,5 tỷ - 10 tỷ,1
73,Long An,"Cần Giuộc, Long An",62.0,50m² - 100m²,45160000.0,4.0,3.0,2800000000.0,1 tỷ - 5 tỷ,1
74,Đồng Nai,"Biên Hòa, Đồng Nai",326.9,250m² - 350m²,48940000.0,2.0,2.0,16000000000.0,10 tỷ - 20 tỷ,2
75,Đồng Nai,"Xuân Lộc, Đồng Nai",203.7,150m² - 250m²,19150000.0,5.0,2.0,3900000000.0,1 tỷ - 5 tỷ,2
76,Bình Dương,"Thủ Dầu Một, Bình Dương",100.0,50m² - 100m²,36900000.0,2.0,2.0,3690000000.0,1 tỷ - 5 tỷ,0
77,Đồng Nai,"Biên Hòa, Đồng Nai",120.0,100m² - 150m²,45830000.0,4.0,5.0,5500000000.0,5 tỷ - 10 tỷ,2
